"FROM","TO","rcarbon","MODEL"
-412,541,"positive","uniform"
1341,1389,"positive","uniform"
1600,1899,"positive","uniform"
-1816,-740,"negative","uniform"
-637,-632,"negative","uniform"
-602,-592,"negative","uniform"
623,1055,"negative","uniform"
-1999,-1972,"positive","linear"
-438,461,"positive","linear"
-1692,-767,"negative","linear"
611,1323,"negative","linear"
1394,1485,"negative","linear"
-443,466,"positive","exponential"
-1776,-758,"negative","exponential"
613,1300,"negative","exponential"
1406,1423,"negative","exponential"
